P_L0,P_T,P_IC0,P_CC0,P_IC1,P_CC1,skill,cluster
0.14859257856791527,0.018615903889563273,0.15267012526835594,0.847329874731644,0.5208713802689099,0.47912861973109017,Rounding,1
0.23987020432871914,0.01,0.20068176871760207,0.7993182312823979,0.6864062158565261,0.31359378414347394,Rounding,0
0.15378741283973593,0.01,0.08347926532148368,0.9165207346785162,0.32984231520080476,0.6701576847991954,Multiplication and Division Integers,1
0.22098675270819415,0.01,0.11621910994211801,0.883780890057882,0.5233630898982837,0.47663691010171627,Multiplication and Division Integers,0
0.2564235439524119,0.01,0.16006078083607425,0.8399392191639259,0.46208414536665293,0.537915854633347,Proportion,1
0.3467791388366716,0.0476275626248739,0.1761645199972773,0.8238354800027228,0.6714214529936052,0.3285785470063948,Proportion,0
0.18739078086691102,0.01,0.1551123272449185,0.8448876727550815,0.43387978858242077,0.5661202114175792,Exponents,1
0.14154731524643313,0.01,0.2287710123020984,0.7712289876979016,0.7660221532384357,0.23397784676156425,Exponents,0
0.26691535871523325,0.01,0.1652320513611393,0.8347679486388607,0.4188890671648446,0.5811109328351555,Equation Solving Two or Fewer Steps,1
0.3017793872322956,0.01,0.22390536054853521,0.7760946394514648,0.6358972998593356,0.36410270014066437,Equation Solving Two or Fewer Steps,0
0.19149577377298,0.23948693932396978,0.30582382712904477,0.6941761728709551,0.34771987696705137,0.6522801230329486,Venn Diagram,1
0.17932282298909408,0.7931374961940704,0.29700663836060576,0.7029933616393942,0.42198824125561607,0.5780117587443839,Venn Diagram,0
0.17764806524854834,0.01,0.20710304616771238,0.7928969538322876,0.5426292107271862,0.45737078927281394,Addition and Subtraction Fractions,1
0.691961772365225,0.01,0.8015133503787313,0.19848664962126875,0.31090028737946046,0.6890997126205396,Addition and Subtraction Fractions,0
0.6154279371683773,0.01,0.6742392302174085,0.32576076978259155,0.33805781401467005,0.66194218598533,Combining Like Terms,1
0.21575859777205592,0.01,0.5175460007779685,0.4824539992220314,0.9454207559327523,0.05457924406724778,Combining Like Terms,0
0.26339115718759715,0.01,0.18838026935670646,0.8116197306432936,0.47989416515179006,0.5201058348482099,Unit Rate,1
0.4095788231563666,0.015039415805534183,0.25565562762194566,0.7443443723780544,0.729426511273004,0.2705734887269961,Unit Rate,0
0.15475601700295147,0.01,0.3171118105560047,0.6828881894439952,0.5687966212511164,0.43120337874888365,Write Linear Equation from Graph,1
0.2756136849872372,0.01,0.2916243833374517,0.7083756166625483,0.7136705398555138,0.2863294601444862,Write Linear Equation from Graph,0
0.24885486373593377,0.01,0.4310865277254733,0.5689134722745268,0.7757403744433029,0.224259625556697,Write Linear Equation from Ordered Pairs,1
0.3126619658316652,0.09865826849741782,0.7803421001169695,0.21965789988303047,0.44498578525329957,0.5550142147467004,Write Linear Equation from Ordered Pairs,0
0.1815272917562368,0.013161743447371105,0.21119568698125873,0.7888043130187412,0.5592991290505418,0.44070087094945815,Median,1
0.20220412730356885,0.010459557078675222,0.3464625892790897,0.6535374107209104,0.7650608782962648,0.23493912170373518,Median,0
0.7052679706366154,0.01,0.6516903508385274,0.3483096491614725,0.3078719596701173,0.6921280403298826,Equation Solving More Than Two Steps,1
0.713449574603602,0.01,0.8849186806629067,0.1150813193370932,0.4500437317049553,0.5499562682950447,Equation Solving More Than Two Steps,0
0.7302784009315183,0.01893975131534657,0.46718111259694833,0.5328188874030517,0.10471642866648304,0.8952835713335169,Square Root,1
0.720916284058249,0.08857399938933526,0.6962869116732157,0.30371308832678423,0.17986952098054856,0.8201304790194515,Square Root,0
0.17710590487864447,0.01,0.2067942641058275,0.7932057358941725,0.5227138807834889,0.477286119216511,Finding y-intercept from Linear Equation,1
0.10129417066747455,0.01,0.34653330214759276,0.6534666978524073,0.7770160253678275,0.22298397463217245,Finding y-intercept from Linear Equation,0
